Sage Cover Expiry Listing (Detail) From Expiry Date 01/01/2021 To 31/12/2021,,,,,,,,,,,,,,,,,,,,,,,,,,

No.,MyAppID No.,Expiry Date,,Acc Code,Licensee Name,Email,Contact No.,"Acc:1, Inv:2, 1Acc:5",Product Name,Total Users,Main License Price,CU Price,Total Price,,,,,,,,,,,,,
278,N08002516062,05-05-21,,300G/166,Koperasi Amanah Ikhtiar Malaysia Berhad,yusnida@koopsahabat.my,60362701236,1,Sage UBS Accounting & Billing MY,4,400,80,640,,,,,,,,,,,,,
279,N410000029994,05-05-21,,300A/393,Agensi Pekerjaan Mindshare Sdn Bhd,remyazri81@gmail.com,60163222248,5,Sage UBS one Accounting & Billing MY,1,200,0,200,,,,,,,,,,,,,
280,N420000612487,05-05-21,,300A/393,Agensi Pekerjaan Mindshare Sdn Bhd,remyazri81@gmail.com,60163222248,1,Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
281,S09002224275,05-05-21,,300T/197,3R CORPORATION SDN BHD,mm_hafiza@ovdsystems.com.my,320954895,1,Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
282,N08002520475,06-05-21,,,Raveen Medical Services Sdn Bhd,drraveen21@gmail.com,60173608206,1,Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
283,N08002525014,06-05-21,,300M/314,MJ Motor Accessories,soho-88@hotmail.com,60380702409,1,Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
284,N430000055430,06-05-21,,300P/377,Pan Global Sdn Bhd,panglobal_sb@yahoo.com,6012928,2,Sage UBS Inventory & Billing MY,3,400,80,560,,,,,,,,,,,,,
285,S09000426992,06-05-21,,300A/181,AAA CONSULTANTS,faizahism81@yahoo.com,60380240544,1,Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
286,N420000470636,07-05-21,,300M/385,Max Global Paint Resources,maxglobalpaint@gmail.com,60342884060,1,Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
287,N080003017193,08-05-21,,300A/231,ANN LEE ALUMINIUM WORKS SDN BHD,annleealuminium@hotmail.com,389617187,1,Upg - Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
288,N0800002330471,09-05-21,,300A/341,Ranhill Corporation Sdn Bhd,ahmad.azuwan@ranhill.com.my,60326855200,1,Sage UBS Accounting & Billing MY,3,400,80,560,,,,,,,,,,,,,
289,N08002538342,10-05-21,,300J/167,JURUUKUR USAHA,usaha2u@gmail.com,60380623851,1,Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
290,S09000352583,10-05-21,,300T/130,TECHNINIER SDN BHD,meiz@techninier.com,60377273913,1,Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
291,N08002542723,11-05-21,,300H/118,Heartfields Sdn Bhd,deborah8tdh@gmail.com,60320707388,1,Upg - Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
292,N420000125718,11-05-21,,300M/349,Mida Sports & Social Club,haikalA@mida.gov.my,60322632583,1,Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
293,N360000064391,13-05-21,,300C/185,CREATIVE HOUSE NETWORK,chn1212@gmail.com,360386715,7,Sage Payroll 30 MY,1,250,0,250,,,,,,,,,,,,,
294,N400000056125,14-05-21,,300D/009,DUMEZ JAYA SDN BHD,sue.yong@vinci-construction-my.com,376629000,11,Sage Payroll Premium MY,2,650,80,730,,,,,,,,,,,,,
295,N400000072081,14-05-21,,300A/240,AAY CONSTRUCTION SDN BHD,yipooimee@gmail.com,30,11,Sage Payroll Premium MY,1,650,0,650,,,,,,,,,,,,,
296,N24000003311,15-05-21,,300T/313,LOTUS DESARU BEACH RESORT JOINT MANAGEMENT BODY,jmb@lotusdesaru.com,60173681881,4,Upg - Sage BSM MY,1,"1,000.00",0,"1,000.00",,,,,,,,,,,,,
297,N420000473030,15-05-21,,300S/449,SYP Management Services,yp_see@yahoo.com,60122881178,1,Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
298,S09001299095,15-05-21,,300K/168,KOPERASI PERUMAHAN LEPASAN INSTITUSI,koplit94@ymail.com,389274244,1,Sage UBS Accounting & Billing MY,3,400,80,560,,,,,,,,,,,,,
299,N09000692760,17-05-21,,300T/256,Tai Tack Trading,yetyeec@yahoo.com,60123316681,2,Sage UBS Inventory & Billing MY,1,400,0,400,,,,,,,,,,,,,
300,N080003027366,18-05-21,,300F/126,Flumen Technologies Sdn Bhd,info@flumen.com.my,60342666225,1,Sage UBS Accounting & Billing MY,3,400,80,560,,,,,,,,,,,,,
301,N080003028459,18-05-21,,300T/287,The Bean Belt Coffee Sdn Bhd,office@aramico.com,60320317800,1,Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
302,N080003028520,18-05-21,,300A/010,AIM SOLUTIONS SDN BHD,farhana@aimsolutions.com.my,362733386,1,Upg - Sage UBS Accounting & Billing MY,6,400,80,800,,,,,,,,,,,,,
303,N08002567927,18-05-21,,300P/026,PS PERUVISION SDN BHD,pssales@psperuvision.com.my,162026610,1,Upg - Sage UBS Accounting & Billing MY,3,400,80,560,,,,,,,,,,,,,
304,S12001356862,18-05-21,,300B/192,BEYOND SEA SDN BHD,beyondsea@baysea.com,7554,2,Sage UBS Inventory & Billing MY,3,400,80,560,,,,,,,,,,,,,
305,S45000394622,18-05-21,,300B/192,BEYOND SEA SDN BHD,beyondsea@baysea.com,7554,1,Sage UBS Accounting & Billing MY,6,400,80,800,,,,,,,,,,,,,
306,N08002574651,19-05-21,,300A/303,Aqthal Agri Services Sdn Bhd,ygouyong@yahoo.co.uk,6089210631,1,Upg - Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
307,N08002576018,19-05-21,,300E/264,ELEMENZ PRINT & PACK,elemenz2@yahoo.com,60362631569,1,Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
308,N13000032553,19-05-21,,300U/049,UNITY SALES & SERVICE SDN BHD,unity2@unity88.com,362750668,8,Upg - Sage Payroll 60 MY,1,450,0,450,,,,,,,,,,,,,
309,N370000066512,19-05-21,,300C/279,CHENANG CLINIC SDN BHD,chenangclinic@gmail.com,6049551418,8,Sage Payroll 60 MY,2,450,80,530,,,,,,,,,,,,,
310,N420000129436,19-05-21,,300Y/088,YTS Sun Teck Trading,barbaraysm@gmail.com,60179157188,1,Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
311,N430000079981,19-05-21,,300C/279,CHENANG CLINIC SDN BHD,chenangclinic@gmail.com,6049551418,2,Sage UBS Inventory & Billing MY,2,400,80,480,,,,,,,,,,,,,
312,N08002577255,20-05-21,,300P/353,PROMEP ENTERPRISE,promepenterprise@yahoo.com,6072414203,1,Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
313,N420000328585,20-05-21,,300A/372,AKZ Resources Sdn Bhd,toklah61@gmail.com,60162095826,1,Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
314,N400000024512,21-05-21,,300L/254,LIMOCAB (M) SDN BHD,account2@limocab.com.my,320781000,11,Upg - Sage Payroll Premium MY,3,650,80,810,,,,,,,,,,,,,
315,N420000614851,21-05-21,,300T/342,Titi Selambau Sdn Bhd,selambau5@gmail.com,60133891554,1,Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
316,N540000033560,21-05-21,,300W/152,WORLD PERFUMES SDN BHD,nora@wop.com.my,355114588,1,Upg - Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
317,S45000408320,21-05-21,,300C/195,CHAN CHING YNG,AVIONCHAN@YAHOO.COM,1669460060,1,Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
318,N350000050685,22-05-21,,300R/019,RESTORAN SRI KARAK SDN BHD,jengoh01@gmail.com,9231,6,Sage Payroll 15 MY,1,150,0,150,,,,,,,,,,,,,
319,N400000012280,22-05-21,,300S/551,SEM SENG AUTO SDN BHD,meiha1708@gmail.com,3512156820,7,Sage Payroll 30 MY,1,250,0,250,,,,,,,,,,,,,
320,N420000130984,22-05-21,,300Y/089,Yong Seok Ting,seokting2002@yahoo.com,60179850921,1,Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
321,N150000108468,23-05-21,,300Y/004,YONG FONG THAI SDN. BERHAD,yetyeec@yahoo.com,320788100,11,Upg - Sage Payroll Premium MY,1,650,0,650,,,,,,,,,,,,,
322,N350000008598,23-05-21,,300F/130,Foremast Shipping Sdn Bhd,fmast@fmast.com.my,60321617791,6,Sage Payroll 15 MY,1,150,0,150,,,,,,,,,,,,,
323,N420000131879,23-05-21,,300F/130,Foremast Shipping Sdn Bhd,fmast@fmast.com.my,60321617791,1,Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
324,S60000325898,23-05-21,,301I/015,INTER-ENTERPRISE SOLUTIONS SDN BHD,ivy@iesync.net,376627828,11,Sage Payroll Premium MY,2,650,80,730,,,,,,,,,,,,,
325,N130000068813,25-05-21,,300I/009,Ivs Tech (M) Sdn Bhd,bawani@ivstech.asia,60378870750,8,Sage Payroll 60 MY,1,450,0,450,,,,,,,,,,,,,
326,N420000330087,25-05-21,,,Sinotium Construction Sdn Bhd,chiew83@yahoo.com,60172238228,1,Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
327,N440000003833,25-05-21,,300E/245,Effective Trading Sdn Bhd,etsb.hq@gmail.com,60380608100,4,Sage BSM MY,3,"1,000.00",80,"1,160.00",,,,,,,,,,,,,
328,N080003037368,26-05-21,,300W/288,The Webb Agency,lorie@the-webbagency.com,60322973616,1,Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
329,N150000109334,26-05-21,,300S/518,Seki AOI Techno (Malaysia) Sdn Bhd,amandalee@sekiaoi.com,6063125110,11,Sage Payroll Premium MY,1,650,0,650,,,,,,,,,,,,,
330,N08002599472,27-05-21,,300K/224,Khalifah Enterprise,harisul_kauthar@yahoo.com,60326021821,1,Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
331,N09000698699,27-05-21,,300K/224,Khalifah Enterprise,harisul_kauthar@yahoo.com,60326021821,2,Sage UBS Inventory & Billing MY,1,400,0,400,,,,,,,,,,,,,
332,N380000041260,27-05-21,,300S/450,SUMBER AMINEX SDN BHD,lizasumberaminex@hotmail.com,167738550,9,Sage Payroll 100 MY,1,550,0,550,,,,,,,,,,,,,
333,S43000171510,27-05-21,,300R/156,RJ COSMECTIC TRADING SDN BHD,stlim03@gmail.com,60362413896,8,Sage Payroll 60 MY,1,450,0,450,,,,,,,,,,,,,
334,N08002600333,28-05-21,,300G/038,MAIZEN SDN BHD,feliciachong@westports.com.my,362090812,1,Upg - Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
335,N08002602266,28-05-21,,300M/317,Ming Tech Decorations,chenmeng_chan@yahoo.com,60389626798,1,Upg - Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
336,N360000085390,28-05-21,,300L/288,LX Fruits & Vegetables (M) Sdn Bhd,lxfruitvege@gmail.com,6073571561,7,Sage Payroll 30 MY,1,250,0,250,,,,,,,,,,,,,
337,N420000133630,28-05-21,,300C/279,CHENANG CLINIC SDN BHD,chenangclinic@gmail.com,6049551418,1,Sage UBS Accounting & Billing MY,2,400,80,480,,,,,,,,,,,,,
338,S45000468283,29-05-21,,300H/270,HRA TEGUH SDN BHD,hra@hrateguh.com.my,379812817,1,Sage UBS Accounting & Billing MY,2,400,80,480,,,,,,,,,,,,,
339,N400000056713,30-05-21,,300A/344,ARISPROP SDN BHD,contact@arisprop.asia,60387330119,11,Sage Payroll Premium MY,1,650,0,650,,,,,,,,,,,,,
340,N420000477295,30-05-21,,300A/394,AQIFF HOLDINGS SDN BHD,ghazali@aqiffholdings.com.my,6073876906,1,Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
341,N420000135888,31-05-21,,300Y/090,Yong Feng Resources,clgksb@ymail.com,60123533382,1,Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
342,N420000616551,31-05-21,,300N/170,Ng Mei Ying,kindlyng1988@gmail.com,60105773919,1,Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
343,N420000616677,31-05-21,,300M/399,MNF Service Sdn Bhd,feezamnf1@gmail.com,6.01E+11,1,Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
Expiry Date : June 2021,,,,,,,,,,,,,,,,,,,,,,,,,,
344,N08002608839,01-06-21,,300A/305,A-Class Aquarium & Pets Centre Sdn Bhd,hoyvonne12@gmail.com,60122687919,1,Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
345,S45000479047,02-06-21,,300E/192,EOP MANAGEMENT SERVICES SDN BHD,peggy.ng@eop.com.my,380709899,1,Sage UBS Accounting & Billing MY,4,400,80,640,,,,,,,,,,,,,
346,S09002304747,04-06-21,,300C/267,CAKARA MARITIME SDN BHD,nadiah@cakaramaritime.com,387367511,1,Sage UBS Accounting & Billing MY,5,400,80,720,,,,,,,,,,,,,
347,S21000214161,04-06-21,,300G/055,GAMERS ARENA,paulkaiza@hotmail.com,321425330,3,Sage POS MY,1,200,0,200,,,,,,,,,,,,,
348,N420000138891,06-06-21,,300A/353,ADVANCED POWER SOLUTIONS SDN BHD,rashidah@aps-my.com,60355114800,1,Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
349,N420000619129,06-06-21,,300C/304,CHUA WEE NI,winnie_cwn90@hotmail.com,6.01E+11,1,Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
350,N080003054545,08-06-21,,300T/284,Tunas Selatan Property Sdn Bhd,razuky@yahoo.com,60320958992,1,Sage UBS Accounting & Billing MY,3,400,80,560,,,,,,,,,,,,,
351,N08002627823,08-06-21,,300S/011,Stopest (M) Sdn Bhd,wan@stopest.com.my,60342922227,1,Upg - Sage UBS Accounting & Billing MY,4,400,80,640,,,,,,,,,,,,,
352,N12000039047,08-06-21,,300K/173,KB LIQUOR TRADING HOUSE (M) SDN BHD,kbliquor@yahoo.com,125381974,7,Sage Payroll 30 MY,1,250,0,250,,,,,,,,,,,,,
353,N420000619595,08-06-21,,300D/167,Fatin Tumaisuri,fatintumaisuri@gmail.com,60189494487,1,Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
354,N08002629716,09-06-21,,300K/154,KAYFOUR DEVELOPMENT CORPORATION SDN BHD,zam@310@hotmail.com,3414308190,1,Upg - Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
355,N080002636215,10-06-21,,300S/503,Synergy Log-In Systems Sdn Bhd,indra.devi@synlog.net,6038994,1,Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
356,N140000018639,10-06-21,,300S/503,Synergy Log-In Systems Sdn Bhd,indra.devi@synlog.net,6038994,9,Sage Payroll 100 MY,1,550,0,550,,,,,,,,,,,,,
357,N420000479016,10-06-21,,300A/396,ASIAWANGSA JAYA (M) SDN BHD,asiawangsa88@gmail.com,60166339682,1,Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
358,N420000621143,10-06-21,,300S/601,SS GREENER EARTH SOLUTIONS SDN BHD,ssges@ssges.com,6038964,1,Sage UBS Accounting & Billing MY,2,400,80,480,,,,,,,,,,,,,
359,N080002637333,11-06-21,,300R/125,RENEWABLES PLUS SDN BHD,nimily@renewablesplus.com,60362033138,1,Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
360,N370000079747,11-06-21,,300S/602,SUPERLIFE WORLD SDN BHD,grimwickleo@live.com,60127920289,8,Sage Payroll 60 MY,1,450,0,450,,,,,,,,,,,,,
361,N420000621745,11-06-21,,300N/171,NMR Premier Group Sdn Bhd,shouranna@yahoo.com,60179548784,1,Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
362,N420000335719,12-06-21,,300J/162,JMJ GEOMATICS SDN BHD,jmjleow@gmail.com,6075543157,1,Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
363,N420000480885,13-06-21,,300M/387,Violet Reflexology & Wellness Centre,mel96outsourcing@gmail.com,60178288108,1,Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
364,N370000017049,14-06-21,,300T/284,Tunas Selatan Property Sdn Bhd,razuky@yahoo.com,60320958992,8,Upg - Sage Payroll 60 MY,1,450,0,450,,,,,,,,,,,,,
365,N080002645559,15-06-21,,300N/149,MUHAMAD SYAAMIL BIN ABDUL RAZAK,syaamil.nkgroup@gmail.com,60390819996,1,Sage UBS Accounting & Billing MY,3,400,80,560,,,,,,,,,,,,,
366,N550000008399,15-06-21,,300P/246,WHITEX GARMENTS SDN BHD,IT@whitexgarments.com,389613537,2,Upg - Sage UBS Inventory & Billing MY,5,400,80,720,,,,,,,,,,,,,
367,S09001298247,15-06-21,,300P/217,PANORAMA OIL & GAS SDN BHD,syazwi@panoramaoil.com,321814009,1,Sage UBS Accounting & Billing MY,2,400,80,480,,,,,,,,,,,,,
368,S42000113698,15-06-21,,300P/187,PASSION PICTURES SDN BHD,anna@passionpictures.com.my,186058605,7,Sage Payroll 30 MY,1,250,0,250,,,,,,,,,,,,,
369,S45000509661,15-06-21,,300P/187,PASSION PICTURES SDN BHD,anna@passionpictures.com.my,186058605,1,Sage UBS Accounting & Billing MY,4,400,80,640,,,,,,,,,,,,,
370,S45000510689,15-06-21,,300P/246,POWERDEL ENGINEERING SDN BHD,powerdeleng@gmail.com,3627495060,1,Sage UBS Accounting & Billing MY,3,400,80,560,,,,,,,,,,,,,
371,S45000512188,15-06-21,,300P/246,WHITEX GARMENTS SDN BHD,IT@whitexgarments.com,60389613537,1,Sage UBS Accounting & Billing MY,9,400,80,"1,040.00",,,,,,,,,,,,,
372,N350000063249,16-06-21,,300P/399,PRO-TEAM EVENT MANAGEMENT SDN BHD,tiffany@pro-teamevent.com,6039131,6,Sage Payroll 15 MY,1,150,0,150,,,,,,,,,,,,,
373,N420000481373,16-06-21,,,Lovelimzy Studio,yeezenlim@gmail.com,60163908195,1,Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
374,N420000623446,16-06-21,,300P/399,PRO-TEAM EVENT MANAGEMENT SDN BHD,tiffany@pro-teamevent.com,6039131,1,Sage UBS Accounting & Billing MY,2,400,80,480,,,,,,,,,,,,,
375,N420000623764,16-06-21,,300G/200,Gunung Resources Sdn Bhd,office@gunung.com.my,60125427250,1,Sage UBS Accounting & Billing MY,2,400,80,480,,,,,,,,,,,,,
376,N380000041632,17-06-21,,300A/056	,ARMADA PETROLEUM SDN BHD,general@armadapetroleum.com.my,60332905402,9,Sage Payroll 100 MY,2,550,80,630,,,,,,,,,,,,,
377,S45000518684,17-06-21,,300A/019,ATTIN PRESS SDN BHD,attinpress@gmail.com,37984,1,Sage UBS Accounting & Billing MY,4,400,80,640,,,,,,,,,,,,,
378,N080002655813,18-06-21,,300E/092,ECOLFRE TRAINING AND CONSULTANCY SDN BHD,leowmeachuin@gmail.com,60162687110,1,Upg - Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
379,N150000047618,18-06-21,,300S/217,SIRIUS SCHOLAR STUDY SKILLS SDN BHD,szeying@aceedventure.com.my,193362447,11,Upg - Sage Payroll Premium MY,4,650,80,890,,,,,,,,,,,,,
380,N420000145342,18-06-21,,300A/260,AXIS FOCUS SDN BHD,hblim2001@yahoo.com,391316898,1,Upg - Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
381,S45000397329,18-06-21,,300W/123,WENGSONG CORPORATION SDN BHD,ericsoo35@yahoo.com,392215133,1,Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
382,N080002658813,19-06-21,,300I/135,In Design,indesign18@yahoo.com,60389430989,1,Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
383,S09001379380,19-06-21,,300K/173,KB LIQUOR TRADING HOUSE (M) SDN BHD,kbliquor@yahoo.com,125381974,1,Sage UBS Accounting & Billing MY,5,400,80,720,,,,,,,,,,,,,
384,S12000511274,19-06-21,,300K/173,KB LIQUOR TRADING HOUSE (M) SDN BHD,kbliquor@yahoo.com,125381974,2,Sage UBS Inventory & Billing MY,4,400,80,640,,,,,,,,,,,,,
385,N420000147357,20-06-21,,300A/354,Al Hijrah Media Corporation,hayati@tvalhijrah.com,60382300416,1,Sage UBS Accounting & Billing MY,10,400,80,"1,120.00",,,,,,,,,,,,,
386,N420000338699,20-06-21,,300G/194,GMT Properties Sdn Bhd,latha.gmtprop@gmail.com,60326935050,1,Sage UBS Accounting & Billing MY,3,400,80,560,,,,,,,,,,,,,
387,N420000338747,20-06-21,,300Y/072,YAYASAN INOVASI MALAYSIA,finance.dept@yim.my,389961714,1,Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
388,N420000625317,21-06-21,,300A/397,AT Movies Sdn Bhd,acc.alif@atguardsec.com,60392027699,1,Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
389,N430000057694,21-06-21,,300J/001,JKY Sink Sdn Bhd,wkl@kkysink.com.my,6036021,2,Sage UBS Inventory & Billing MY,1,400,0,400,,,,,,,,,,,,,
390,N540000098394,21-06-21,,300F/113,Fair Consulting Malaysia Sdn Bhd,m.pang@saircongrp.com,60327258030,1,Upg - Sage UBS Accounting & Billing MY,17,400,80,"1,680.00",,,,,,,,,,,,,
391,S43000016829,21-06-21,,300K/111,KUAN HOI TRADING SDN BHD,khtrd.chong@yahoo.com,379802715,8,Sage Payroll 60 MY,1,450,0,450,,,,,,,,,,,,,
392,N080002662765,22-06-21,,300F/100,FITRAH FOOD MANUFACTURING SDN BHD,general@fitrahfood.com,35621,1,Upg - Sage UBS Accounting & Billing MY,3,400,80,560,,,,,,,,,,,,,
393,N080003197443,22-06-21,,300F/113,Fair Consulting Malaysia Sdn Bhd,m.pang@saircongrp.com,60327258030,1,Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
394,N120000068965,22-06-21,,300V/053,VIVA SOUL SDN BHD,mingchoo@gmail.com,391338225,7,Upg - Sage Payroll 30 MY,1,250,0,250,,,,,,,,,,,,,
395,N080002665454,23-06-21,,300F/122,Foo Lee Sian,leesianfoo@gmail.com,60179696207,1,Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
396,N150000117474,23-06-21,,300K/102,KULITKRAF SDN BHD,kulitkraf@kulitkraf.com,379574633,11,Upg - Sage Payroll Premium MY,3,650,80,810,,,,,,,,,,,,,
397,N080002672342,25-06-21,,300S/441,SELAI SDN BHD,mdnazlan@kulim.com.my,6078611611,1,Sage UBS Accounting & Billing MY,3,400,80,560,,,,,,,,,,,,,
398,N350000051440,25-06-21,,300I/157,Icon Venture Capital Sdn Bhd,carolchan@iconventure.com.my,6037733,6,Sage Payroll 15 MY,1,150,0,150,,,,,,,,,,,,,
399,N420000627189,25-06-21,,300O/086,Omargill Advocate & Solicitor,svtindra@gmail.com,60356324155,1,Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
400,N420000485598,26-06-21,,300H/130,Hypergrid Malaysia Sdn Bhd,hawa-v@hypergrid.com,60192650162,1,Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
401,N080003021091,27-06-21,,300Z/041,ZARLITH EVENTS AND MANAGEMENT SDN BHD,zarlithevent@gmail.com,60362701444,1,Sage UBS Accounting & Billing MY,3,400,80,560,,,,,,,,,,,,,
402,N360000066080,27-06-21,,300M/377,MECA EMPLOYERS CONSULTING AGENCY SDN BHD,mei.xin@meca.com.my,376100190,7,Sage Payroll 30 MY,1,250,0,250,,,,,,,,,,,,,
403,N420000343423,27-06-21,,300M/377,MECA EMPLOYERS CONSULTING AGENCY SDN BHD,mei.xin@meca.com.my,376100190,1,Sage UBS Accounting & Billing MY,3,400,80,560,,,,,,,,,,,,,
404,N430000058138,27-06-21,,300N/163,Noir Health & Beauty Sdn Bhd,noir.healthbeauty@gmail.com,60341433606,2,Sage UBS Inventory & Billing MY,2,400,80,480,,,,,,,,,,,,,
405,N450000024443,27-06-21,,300M/334,SARBORN FRESHMART SDN BHD,sarborn@hotmail.com,387373133,3,Sage POS MY,1,200,0,200,,,,,,,,,,,,,
406,N450000024597,27-06-21,,300M/334,SARBORN FRESHMART SDN BHD,sarborn@hotmail.com,387373133,3,Sage POS MY,1,200,0,200,,,,,,,,,,,,,
407,N080002898127,28-06-21,,300N/163,AA LIFEWORKS (M) SDN BHD,LIFEWORKS66@GMAIL.COM,60341433606,1,Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
408,N150000050231,29-06-21,,300M/319,Magnificent Manpower Resources Sdn Bhd,enquiry911.mmr@gmail.com,60377326369,11,Sage Payroll Premium MY,2,650,80,730,,,,,,,,,,,,,
409,N350000013493,29-06-21,,300T/140,TT FOO & ASSOCIATES,ttfoo2006@gmail.com,60390821299,6,Sage Payroll 15 MY,1,150,0,150,,,,,,,,,,,,,
410,N420000627996,29-06-21,,300O/087,1688 FENGSHUI SERVICES,fengshui_1688@hotmail.com,6010798,1,Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
411,N540000099347,29-06-21,,300P/144,Parallel Attempt Sdn Bhd,parallelattempt@yahoo.com,60389614171,1,Upg - Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
412,S09001332221,30-06-21,,300P/323,PMC BUILDING TECHNOLOGIES SDN BHD,Joanne@hrateguh.com.my,32287,1,Sage UBS Accounting & Billing MY,5,400,80,720,,,,,,,,,,,,,
413,S28000102628,30-06-21,,300A/237,ANBOUND RESEARCH CENTER (M) SDN BHD,adeline@anbound.com,321413678,6,Sage Payroll 15 MY,1,150,0,150,,,,,,,,,,,,,
414,S60000205047,30-06-21,,300D/120,DOLPHIN ENGINEERING (M) SDN BHD,jasmyn_soo@dolphineng.com,380622289,11,Sage Payroll Premium MY,2,650,80,730,,,,,,,,,,,,,
415,S60000373852,30-06-21,,300K/081,KL BAPTIST CHURCH,klbc.carol@gmail.com,321419154,11,Sage Payroll Premium MY,1,650,0,650,,,,,,,,,,,,,
Expiry Date : July 2021,,,,,,,,,,,,,,,,,,,,,,,,,,
416,N080002685615,01-07-21,,300C/254,CSP ENGINEERING SDN BHD,shirleytham_74@hotmail.com,162833013,1,Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
417,N150000050790,01-07-21,,300C/074,CHOC STATION SDN BHD,maria@corakrentak.com.my,38070933,11,Upg - Sage Payroll Premium MY,1,650,0,650,,,,,,,,,,,,,
418,N430000058580,01-07-21,,30J1/D27,D LAKSA MANUFACTURING (M) SDN BHD,account@dlaksa.com,6075950757,2,Sage UBS Inventory & Billing MY,4,400,80,640,,,,,,,,,,,,,
419,S60000133961,01-07-21,,300K/078,KB UV SERVICES SDN BHD,kbuvsb@gmail.com,391731288,11,Sage Payroll Premium MY,1,650,0,650,,,,,,,,,,,,,
420,N380000049963,02-07-21,,300G/201,GA Force Security Sdn Bhd,gaforcesdnbhd@gmail.com,60395444373,9,Sage Payroll 100 MY,1,550,0,550,,,,,,,,,,,,,
421,N420000629421,02-07-21,,300G/201,GA Force Security Sdn Bhd,gaforcesdnbhd@gmail.com,60395444373,1,Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
